gene	disease
MYH7	MYH7-related late-onset scapuloperoneal muscular dystrophy
MYH7	Dilated cardiomyopathy 1S
MYH9	Autosomal dominant nonsyndromic deafness 17
MYH9	Macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss
MYL2	Familial hypertrophic cardiomyopathy 10
MYL3	Familial hypertrophic cardiomyopathy 8
MYLK	Aortic aneurysm, familial thoracic 7
MYO18B	Klippel-feil syndrome 4, autosomal recessive, with nemaline myopathy and facial dysmorphism
MYO3A	Deafness, autosomal recessive 30
MYO6	Deafness, autosomal recessive 37
MYO6	Deafness, autosomal dominant 22
MYO7A	Deafness, autosomal recessive 2
MYO7A	Deafness, autosomal dominant 11
MYO7A	Usher syndrome type 1
MYOC	Glaucoma 1, open angle, A
NADSYN1	VERTEBRAL, CARDIAC, RENAL, AND LIMB DEFECTS SYNDROME 3
NALCN	Congenital contractures of the limbs and face, hypotonia, and developmental delay
NALCN	Hypotonia, infantile, with psychomotor retardation and characteristic facies 1
NAT2	Slow acetylator due to N-acetyltransferase enzyme variant
NBN	Microcephaly, normal intelligence and immunodeficiency
NBN	Aplastic anemia
NBN	Acute lymphoid leukemia
NCF4	Granulomatous disease, chronic, autosomal recessive, cytochrome b-positive, type III
NDRG1	Charcot-Marie-Tooth disease, type 4D
NEFL	Charcot-Marie-Tooth disease, demyelinating, type 1f
NEFL	CHARCOT-MARIE-TOOTH DISEASE, DOMINANT INTERMEDIATE G
NEFL	Charcot-Marie-Tooth disease type 2E
NF1	Juvenile myelomonocytic leukemia
NF1	Neurofibromatosis-Noonan syndrome
NF1	Neurofibromatosis, familial spinal
NF1	Café-au-lait macules with pulmonary stenosis
NF1	Neurofibromatosis, type 1
NF2	Neurofibromatosis, type 2
NF2	Meningioma, familial
NF2	Schwannomatosis 1
NFKB1	Immunodeficiency, common variable, 12
NFKBIL1	Rheumatoid arthritis
NGF	Congenital sensory neuropathy with selective loss of small myelinated fibers
NGLY1	Congenital disorder of deglycosylation
NLRP1	Vitiligo-associated multiple autoimmune disease susceptibility 1
NLRP1	Autoinflammation with arthritis and dyskeratosis
NLRP1	RESPIRATORY PAPILLOMATOSIS, JUVENILE RECURRENT, CONGENITAL
NLRP1	Palmoplantar carcinoma, multiple self-healing
NLRP12	Familial cold autoinflammatory syndrome 2
NLRP3	Keratitis fugax hereditaria
NLRP3	Chronic infantile neurological, cutaneous and articular syndrome
NLRP3	Familial amyloid nephropathy with urticaria AND deafness
NLRP3	Familial cold urticaria
NLRP3	DEAFNESS, AUTOSOMAL DOMINANT 34, WITH OR WITHOUT INFLAMMATION
NOD2	Blau syndrome
NOD2	Inflammatory bowel disease 1
NOD2	Yao syndrome
NOS2	Susceptibility to malaria
NOS3	Preeclampsia/eclampsia 1
NOS3	Alzheimer disease
NOS3	Essential hypertension
NOS3	Ischemic stroke
NOTCH1	Aortic valve disorder
NOTCH1	Adams-Oliver syndrome 5
NPC1	Niemann-Pick disease type C1
NPC1L1	LOW DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS 7
NPHS1	Finnish congenital nephrotic syndrome
NPHS2	Nephrotic syndrome, idiopathic, steroid-resistant
NPPA	Atrial fibrillation, familial, 6
NPPA	Atrial standstill 2
NR3C1	Glucocorticoid resistance, generalized
NR3C2	Autosomal dominant pseudohypoaldosteronism type 1
NR3C2	Hypertension, early-onset, autosomal dominant, with severe exacerbation in pregnancy
NRG1	Schizophrenia 6
NRXN1	Pitt-Hopkins-like syndrome 2
NRXN1	Schizophrenia 17
NSD1	Sotos syndrome 1
NSMCE3	Lung disease, immunodeficiency, and chromosome breakage syndrome
NTRK1	Hereditary insensitivity to pain with anhidrosis
NUDT15	Thiopurines, poor metabolism of, 2
NUDT15	Azathioprine response
NUDT15	Thioguanine response
OCA2	Tyrosinase-positive oculocutaneous albinism
OCA2	Skin/hair/eye pigmentation, variation in, 1
OGG1	Renal cell carcinoma, nonpapillary
OPN1LW	Cone monochromatism
OPN1LW	Protan defect
OPN1MW	Cone monochromatism
OPN1MW	Deuteranopia
OTC	Ornithine carbamoyltransferase deficiency
OTOF	Deafness, autosomal recessive 9
PADI3	Uncombable hair syndrome
PADI4	Rheumatoid arthritis
PADI6	Preimplantation embryonic lethality 2
PAH	Phenylketonuria
PALB2	Fanconi anemia, complementation group N
PALB2	Familial cancer of breast
PALB2	Hereditary cancer-predisposing syndrome
PALB2	Pancreatic cancer 3
PALLD	Pancreatic cancer 1
PARK7	Parkinson disease 7
PAX2	Focal segmental glomerulosclerosis 7
PAX2	Anophthalmia-microphthalmia syndrome
PAX2	Renal coloboma syndrome
PAX5	Leukemia, acute lymphoblastic, susceptibility to, 3
PCDH15	Deafness, autosomal recessive 23
PCDH15	Usher syndrome type 1F
PCDH15	Usher syndrome type 1D
PCSK1	Body mass index quantitative trait locus 12
PCSK1	Proprotein convertase 1/3 deficiency
PCSK9	Familial hypercholesterolemia 3
PDE4D	Acrodysostosis 2, with or without hormone resistance
PDHA1	Pyruvate dehydrogenase E1-alpha deficiency
PDX1	Permanent neonatal diabetes mellitus
PDX1	Maturity-onset diabetes of the young type 4
PDX1	Pancreatic agenesis 1
PDX1	Diabetes mellitus type 2
PDZD7	Usher syndrome, type 2C
PDZD7	DEAFNESS, AUTOSOMAL RECESSIVE 57
PDZD7	Usher syndrome, type 2A
PER2	Familial advanced sleep phase syndrome 1
PEX1	Deafness enamel hypoplasia nail defects
PEX1	Peroxisome biogenesis disorder 1B
PEX1	Peroxisome biogenesis disorder 1A (Zellweger)
PEX10	Peroxisome biogenesis disorder 6A
PEX10	Peroxisome biogenesis disorder 6B
PEX7	Peroxisome biogenesis disorder 9B
PEX7	Phytanic acid storage disease
PEX7	Rhizomelic chondrodysplasia punctata type 1
PGAM2	Glycogen storage disease type X
PGM1	Congenital disorder of glycosylation
PGM1	Congenital disorder of glycosylation type 1t
PGR	Progesterone resistance
PHIP	Developmental delay, intellectual disability, obesity, and dysmorphic features
PHKG2	Glycogen storage disease IXc
PIEZO1	Xerocytosis
PIEZO1	Lymphedema, hereditary, III
PINK1	Parkinson disease 6, autosomal recessive early-onset
PITX1	Clubfoot
PITX1	Clubfoot
PITX1	Liebenberg syndrome
PKD1	Polycystic kidney disease, adult type
PKD2	Polycystic kidney disease 2
PKHD1	Autosomal recessive polycystic kidney disease
PKP2	Arrhythmogenic right ventricular cardiomyopathy, type 9
PLA2G6	Parkinson disease 14
PLA2G6	Neurodegeneration with brain iron accumulation 2b
PLA2G6	Infantile neuroaxonal dystrophy
PLCB1	Early infantile epileptic encephalopathy 12
PLCE1	Nephrotic syndrome, type 3
PLD3	SPINOCEREBELLAR ATAXIA 46
PLIN1	Familial partial lipodystrophy 4
PMM2	Congenital disorder of glycosylation, type Ia
PMS1	Lynch syndrome I
PMS2	Turcot syndrome
PMS2	Hereditary nonpolyposis colorectal cancer type 4
POLD1	Mandibular hypoplasia, deafness, progeroid features, and lipodystrophy syndrome
POLD1	Colorectal cancer 10
POLE	Colorectal cancer, susceptibility to, 12
POLE	Facial dysmorphism, immunodeficiency, livedo, and short stature
POLE	INTRAUTERINE GROWTH RETARDATION, METAPHYSEAL DYSPLASIA, ADRENAL HYPOPLASIA CONGENITA, GENITAL ANOMALIES, AND IMMUNODEFICIENCY
POLG	Sensory ataxic neuropathy-dysarthria-ophthalmoparesis syndrome
POLG	Autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 1
POLG	Mitochondrial DNA depletion syndrome 1 (MNGIE type)
POLG	Cerebellar ataxia infantile with progressive external ophthalmoplegia
POLG	Progressive sclerosing poliodystrophy
POLG	Mitochondrial DNA depletion syndrome 4B, MNGIE type
POLR3B	Hypomyelinating leukodystrophy 8, with or without oligodontia and/or hypogonadotropic hypogonadism
POLR3B	Hypomyelinating leukodystrophy 7
POMC	Obesity
POMC	Proopiomelanocortin deficiency
PON1	Microvascular complications of diabetes 5
POP1	Anauxetic dysplasia 2
POT1	Melanoma, cutaneous malignant, susceptibility to, 10
POT1	Glioma susceptibility 9
PPARG	Diabetes mellitus type 2
PPARG	Carotid intimal medial thickness 1
PPARG	Obesity
PPARG	Familial partial lipodystrophy 3
PPP1CB	Noonan syndrome-like disorder with loose anagen hair 2
PPP2R5D	Mental retardation, autosomal dominant 35
PPT1	Neuronal ceroid lipofuscinosis 1
PRDM16	Left ventricular noncompaction 8
PRF1	Familial hemophagocytic lymphohistiocytosis 2
PRF1	Aplastic anemia
PRF1	Non-Hodgkin lymphoma
PRKAG2	Glycogen storage disease of heart, lethal congenital
PRKAG2	Wolff-Parkinson-White pattern
PRKAG2	Familial hypertrophic cardiomyopathy 6
PRKCG	Spinocerebellar ataxia type 14
PRKCH	Ischemic stroke
PRKG1	Aortic aneurysm, familial thoracic 8
PRNP	Spongiform encephalopathy with neuropsychiatric features
PRNP	Kuru, susceptibility to
PRNP	Jakob-Creutzfeldt disease
PRNP	Fatal familial insomnia
PRNP	Gerstmann-Straussler-Scheinker syndrome
PRNP	Huntington disease-like 1
PROC	Thrombophilia, hereditary, due to protein C deficiency, autosomal dominant
PROC	Thrombophilia, hereditary, due to protein C deficiency, autosomal recessive
PRODH	Schizophrenia 4
PRODH	Proline dehydrogenase deficiency
PROM1	Cone-rod dystrophy 12
PROM1	Bull's eye macular dystrophy
PROM1	Retinitis pigmentosa 41
PROM1	Stargardt disease 4
PROS1	Thrombophilia due to protein S deficiency, autosomal recessive
PROS1	Thrombophilia due to protein S deficiency, autosomal dominant
PRRT2	Episodic kinesigenic dyskinesia 1
PRRT2	Seizures, benign familial infantile, 2
PRRT2	Infantile convulsions and choreoathetosis
PRSS1	Hereditary pancreatitis
PSEN1	Acne inversa, familial, 3
PSEN1	Cardiomyopathy, dilated, 1u
PSEN1	Pick's disease
PSEN1	Alzheimer disease, type 3
PSEN1	Primary dilated cardiomyopathy
PSEN1	Frontotemporal dementia
PSEN2	Primary dilated cardiomyopathy
PSEN2	Alzheimer disease, type 4
PSEN2	Dilated cardiomyopathy 1V
PTEN	Glioma susceptibility 2
PTEN	PTEN hamartoma tumor syndrome
PTEN	Meningioma, familial
PTEN	Malignant tumor of prostate
PTEN	Cowden syndrome 1
PTEN	Macrocephaly/autism syndrome
PTPN11	LEOPARD syndrome 1
PTPN11	Metachondromatosis
PTPN11	Noonan syndrome
PTPN11	Noonan syndrome 1
PTPN11	Juvenile myelomonocytic leukemia
PTPN22	Systemic lupus erythematosus
PTPN22	Rheumatoid arthritis
PTPN22	Diabetes mellitus type 1
PTPRC	Hepatitis c virus, susceptibility to
PTPRC	Severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-positive, NK cell-positive
PTPRQ	Deafness, autosomal recessive 84
PTPRQ	DEAFNESS, AUTOSOMAL DOMINANT 73
PTS	BH4-deficient hyperphenylalaninemia A
PYGM	Glycogen storage disease, type V
QDPR	Dihydropteridine reductase deficiency
RAB27A	Griscelli syndrome type 2
RAD50	Nijmegen breakage syndrome-like disorder
RAD51C	Fanconi anemia, complementation group O
RAD51C	Breast-ovarian cancer, familial 3
RAD51D	Breast-ovarian cancer, familial 4
RAF1	LEOPARD syndrome 2
RAF1	Cardiomyopathy, dilated, 1NN
RAF1	Noonan syndrome 5
RAPSN	Myasthenic syndrome, congenital, 11, associated with acetylcholine receptor deficiency
RAPSN	FETAL AKINESIA DEFORMATION SEQUENCE 2
RB1	Urinary bladder cancer
RB1	Retinoblastoma
RB1	Osteosarcoma
RB1	Small cell lung cancer
RB1	Small cell lung cancer
RELN	Epilepsy, familial temporal lobe, 7
RELN	Familial temporal lobe epilepsy 1
RELN	Norman-Roberts syndrome
RET	Multiple endocrine neoplasia, type 2a
RET	Hirschsprung disease 1
RET	Multiple endocrine neoplasia, type 2b
RET	Familial medullary thyroid carcinoma
RET	Pheochromocytoma
RET	Congenital central hypoventilation
RHCE	RH-NULL, AMORPH TYPE
RMRP	Metaphyseal dysplasia without hypotrichosis
RMRP	Metaphyseal chondrodysplasia, McKusick type
RMRP	Anauxetic dysplasia 1
RNASEL	Prostate cancer, hereditary, 1
RORA	INTELLECTUAL DEVELOPMENTAL DISORDER WITH OR WITHOUT EPILEPSY OR CEREBELLAR ATAXIA
RPE65	Retinitis pigmentosa 20
RPE65	RETINITIS PIGMENTOSA 87 WITH CHOROIDAL INVOLVEMENT
RPE65	Leber congenital amaurosis 2
RTEL1	Dyskeratosis congenita, autosomal recessive, 5
RTEL1	Pulmonary fibrosis and/or bone marrow failure, telomere-related, 3
RUNX1	Familial platelet disorder with associated myeloid malignancy
RUNX1	Acute myeloid leukemia
RUNX1	Acute myeloid leukemia
RYR1	Minicore myopathy
RYR1	Statin-induced myopathy
RYR1	Central core myopathy
RYR1	Malignant hyperthermia, susceptibility to, 1
RYR1	Congenital myopathy with fiber type disproportion
RYR2	Catecholaminergic polymorphic ventricular tachycardia type 1
RYR2	Arrhythmogenic right ventricular dysplasia, familial, 2
SACS	Charlevoix-Saguenay spastic ataxia
SARDH	Sarcosine dehydrogenase deficiency
SBF2	Charcot-Marie-Tooth disease, type 4B2
SCARB1	High density lipoprotein cholesterol level quantitative trait locus 6
SCN2A	Benign familial neonatal-infantile seizures
SCN2A	SCN2A-related generalized epilepsy with febrile seizures plus
SCN2A	Early infantile epileptic encephalopathy 11
SCN2A	Episodic ataxia type 9
SCN3A	Early infantile epileptic encephalopathy 62
SCN3A	Epilepsy, familial focal, with variable foci 4
SCN4A	Potassium-aggravated myotonia
SCN4A	Hyperkalemic Periodic Paralysis Type 1
SCN4A	Paramyotonia congenita of von Eulenburg
SCN4A	Hypokalemic periodic paralysis, type 2
SCN4A	Hypokalemic periodic paralysis 1
SCN4A	Congenital myasthenic syndrome, acetazolamide-responsive
SCN5A	Progressive familial heart block, type 1A
SCN5A	Long QT syndrome 3
SCN5A	Atrial fibrillation, familial, 10
SCN5A	Sick sinus syndrome 1, autosomal recessive
SCN5A	SUDDEN INFANT DEATH SYNDROME
SCN5A	Dilated cardiomyopathy 1E
SCN5A	Paroxysmal familial ventricular fibrillation 1
SCN5A	Brugada syndrome 1
SCN8A	MYOCLONUS, FAMILIAL, 2
SCN8A	Seizures, benign familial infantile, 5
SCN8A	Early infantile epileptic encephalopathy 13
SCN8A	Cognitive impairment with or without cerebellar ataxia
SCN9A	Hereditary sensory and autonomic neuropathy type IIA
SCN9A	Paroxysmal extreme pain disorder
SCN9A	Primary erythromelalgia
SCN9A	Indifference to pain, congenital, autosomal recessive
SCN9A	Generalized epilepsy with febrile seizures plus, type 7
SDHB	Pheochromocytoma
SDHB	Paragangliomas 4
SDHB	Gastrointestinal stromal tumor
SDHB	Gastrointestinal stromal tumor
SDHB	Carney-Stratakis syndrome
SDHD	Mitochondrial complex II deficiency
SDHD	Pheochromocytoma
SDHD	Carney-Stratakis syndrome
SDHD	Paragangliomas 1
SEPSECS	Pontocerebellar hypoplasia type 2D
SERPINA1	Alpha-1-antitrypsin deficiency
SERPINC1	Antithrombin III deficiency
SERPINC1	Antithrombin III deficiency
SERPINE1	Congenital plasminogen activator inhibitor type 1 deficiency
SERPINF1	Osteogenesis imperfecta, type VI
SERPING1	Hereditary angioedema type 1
SERPING1	Hereditary angioedema type 1
SERPING1	Complement component 4, partial deficiency of
SETD1A	EPILEPSY, EARLY-ONSET, WITH OR WITHOUT DEVELOPMENTAL DELAY
SGSH	Mucopolysaccharidosis, MPS-III-A
SH2B3	Primary familial polycythemia due to EPO receptor mutation
SH2B3	Thrombocythemia 1
SH2B3	Myelofibrosis
SH2D1A	Lymphoproliferative syndrome 1, X-linked
SH3TC2	Charcot-Marie-Tooth disease, type 4C
SH3TC2	Mononeuropathy of the median nerve, mild
SHANK3	22q13.3 deletion syndrome
SHANK3	Schizophrenia 15
SHOX	Short stature, idiopathic, X-linked
SHOX	Langer mesomelic dysplasia syndrome
SHOX	Leri-Weill dyschondrosteosis
SIX5	Branchiootorenal syndrome 2
SLC12A3	Familial hypokalemia-hypomagnesemia
SLC12A6	Agenesis of the corpus callosum with peripheral neuropathy
SLC14A1	BLOOD GROUP--KIDD SYSTEM
SLC17A5	Salla disease
SLC17A5	Sialic acid storage disease, severe infantile type
SLC18A2	Parkinsonism-dystonia, infantile, 2
SLC1A2	Epileptic encephalopathy, early infantile, 41
SLC22A4	Rheumatoid arthritis
SLC22A5	Renal carnitine transport defect
SLC24A4	Skin/hair/eye pigmentation, variation in, 6
SLC24A4	Amelogenesis imperfecta, hypomaturation type IIA5
SLC24A5	Skin/hair/eye pigmentation, variation in, 4
SLC25A12	Hypomyelination, global cerebral
SLC25A13	Citrullinemia type II
SLC25A13	Neonatal intrahepatic cholestasis caused by citrin deficiency
SLC26A2	Diastrophic dysplasia
SLC26A2	Atelosteogenesis type II
SLC26A2	Achondrogenesis, type IB
SLC26A2	Multiple epiphyseal dysplasia type 4
SLC26A2	Osteochondrodysplasia
SLC26A4	Enlarged vestibular aqueduct
SLC26A4	Pendred syndrome
SLC2A1	Stomatin-deficient cryohydrocytosis with neurologic defects
SLC2A1	Dystonia 9
SLC2A1	Epilepsy, idiopathic generalized, susceptibility to, 12
SLC2A1	GLUT1 deficiency syndrome 1
SLC2A1	GLUT1 deficiency syndrome 2
SLC2A9	Renal hypouricemia 2
SLC30A8	Diabetes mellitus type 2
SLC34A3	Autosomal recessive hypophosphatemic bone disease
SLC37A4	Phosphate transport defect
SLC37A4	Glucose-6-phosphate transport defect
SLC39A4	Hereditary acrodermatitis enteropathica
SLC45A2	Oculocutaneous albinism type 4
SLC45A2	Skin/hair/eye pigmentation, variation in, 5
SLC4A1	Autosomal dominant distal renal tubular acidosis
SLC4A1	Ovalocytosis, southeast Asian
SLC4A1	Renal tubular acidosis, distal, with hemolytic anemia
SLC4A1	Susceptibility to malaria
SLC4A1	BLOOD GROUP--SWANN SYSTEM
SLC4A1	BLOOD GROUP--FROESE
SLC4A1	BLOOD GROUP--WRIGHT ANTIGEN
SLC4A1	BLOOD GROUP--WALDNER TYPE
SLC4A1	BLOOD GROUP--DIEGO SYSTEM
SLC4A1	Hereditary cryohydrocytosis with normal stomatin
SLC4A1	Spherocytosis type 4
SLC5A2	Familial renal glucosuria
SLC6A2	Orthostatic intolerance
SLC6A3	Tobacco addiction, susceptibility to
SLC6A3	Parkinsonism-dystonia, infantile, 1
SLC6A4	Obsessive-compulsive disorder
SLC6A4	Anxiety
SLC6A8	Creatine transporter deficiency
SLC9A9	Autism 16
SLCO1B1	Statin-induced myopathy
SLCO1B1	Simvastatin response
SLCO1B1	Rotor syndrome
SLCO1B3	Rotor syndrome
SLITRK1	Tourette Syndrome
SLITRK1	Trichotillomania
SLITRK1	Trichotillomania
SMAD3	Familial thoracic aortic aneurysm and aortic dissection
SMAD3	Familial thoracic aortic aneurysm and aortic dissection
SMAD3	Loeys-Dietz syndrome 3
SMAD6	Craniosynostosis 7
SMAD6	Aortic valve disease 2
SMAD7	Colorectal cancer 3
SMARCAD1	Basan syndrome
SMARCAD1	Adermatoglyphia
SMARCAD1	Keratoderma with scleroatrophy of the extremities
SMN1	Kugelberg-Welander disease
SMN1	Werdnig-Hoffmann disease
SMN1	Adult spinal muscular atrophy
SMN1	Spinal muscular atrophy, type II
SMN2	Kugelberg-Welander disease
SMOC2	Dentin dysplasia, type 1
SMPD1	Niemann-Pick disease, type B
SMPD1	Niemann-Pick disease, type A
SNAP25	Myasthenic syndrome, congenital, 18
SNCA	Lewy body dementia
SNCA	Parkinson disease 4
SNCA	Parkinson disease 1
SNX10	Osteopetrosis, autosomal recessive 8
SOD1	Amyotrophic lateral sclerosis type 1
SOD1	SPASTIC TETRAPLEGIA AND AXIAL HYPOTONIA, PROGRESSIVE
SOD2	Microvascular complications of diabetes 6
SORT1	Low density lipoprotein cholesterol level quantitative trait locus 6
SOS1	Gingival fibromatosis 1
SOS1	Noonan syndrome 4
SOST	Sclerosteosis 1
SOST	Craniodiaphyseal dysplasia, autosomal dominant
SOST	Hyperphosphatasemia tarda
SOX5	Lamb-shaffer syndrome
SPINK5	Netherton syndrome
SPR	Dopa-responsive dystonia due to sepiapterin reductase deficiency
SPTA1	Spherocytosis type 3
SPTA1	Hereditary pyropoikilocytosis
SPTA1	Elliptocytosis 2
SPTLC1	Neuropathy, hereditary sensory and autonomic, type 1A
SPTLC1	Hereditary sensory and autonomic neuropathy type 1
SRD5A2	3-Oxo-5 alpha-steroid delta 4-dehydrogenase deficiency
SREBF1	IFAP SYNDROME 2
STAG3	Premature ovarian failure 8
STAR	Cholesterol monooxygenase (side-chain cleaving) deficiency
STAT3	Autoimmune disease, multisystem, infantile-onset, 1
STAT3	Hyper-IgE recurrent infection syndrome 1, autosomal dominant
STAT4	Systemic lupus erythematosus 11
STAT5B	Laron syndrome with immunodeficiency
STAT5B	GROWTH HORMONE INSENSITIVITY SYNDROME WITH IMMUNE DYSREGULATION 2, AUTOSOMAL DOMINANT
STK11	Malignant tumor of testis
STK11	Carcinoma of pancreas
STK11	Peutz-Jeghers syndrome
STOX1	Preeclampsia/eclampsia 4
SUOX	Isolated sulfite oxidase deficiency
SURF1	Leigh syndrome
SURF1	Charcot-Marie-Tooth disease, type 4k
TAB2	Congenital heart defects, multiple types, 2
TAF1	X-linked dystonia-parkinsonism
TAF1	Mental retardation, X-linked, syndromic 33
TAP2	Bare lymphocyte syndrome type 1
TARDBP	TARDBP-related frontotemporal dementia
TARDBP	Amyotrophic lateral sclerosis type 10
TAS2R38	Thiourea tasting
TAZ	3-Methylglutaconic aciduria type 2
TAZ	Primary dilated cardiomyopathy
TBC1D4	Diabetes mellitus, noninsulin-dependent, 5
TBX15	Pelviscapular dysplasia
TBX21	Asthma, nasal polyps, and aspirin intolerance
TBXAS1	Ghosal hematodiaphyseal dysplasia
TCF7L2	Diabetes mellitus type 2
TCHH	Uncombable hair syndrome 3
TCN2	Transcolabamin II deficiency
TCOF1	Treacher Collins syndrome 1
TDP2	Spinocerebellar ataxia, autosomal recessive 23
TECTA	Deafness, autosomal dominant 12
TECTA	Deafness, autosomal recessive 21
TEK	Multiple Cutaneous and Mucosal Venous Malformations
TEK	Glaucoma 3, primary infantile, b
TEK	Glaucoma 3, primary congenital, E
TERC	Pulmonary fibrosis and/or bone marrow failure, telomere-related, 2
TERC	Dyskeratosis congenita, autosomal dominant 1
TERT	Dyskeratosis congenita, autosomal dominant 1
TERT	Dyskeratosis congenita, autosomal dominant, 2
TERT	Idiopathic fibrosing alveolitis, chronic form
TERT	Acute myeloid leukemia
TERT	Acute myeloid leukemia
TERT	Pulmonary fibrosis and/or bone marrow failure, telomere-related, 1
TERT	Cutaneous malignant melanoma 9
TERT	Aplastic anemia
TF	Atransferrinemia
TFAM	Mitochondrial DNA depletion syndrome 15 (hepatocerebral type)
TFR2	Hemochromatosis type 3
TG	Autoimmune thyroid disease 3
TG	Iodotyrosyl coupling defect
TGFB1	Cystic fibrosis
TGFB1	Diaphyseal dysplasia
TGFB1	INFLAMMATORY BOWEL DISEASE, IMMUNODEFICIENCY, AND ENCEPHALOPATHY
TGFB2	Loeys-Dietz syndrome 4
TGFB3	Loeys-Dietz syndrome 5
TGFB3	Arrhythmogenic right ventricular dysplasia, familial 1
TGFBR1	Familial thoracic aortic aneurysm and aortic dissection
TGFBR1	Familial thoracic aortic aneurysm and aortic dissection
TGFBR1	Loeys-Dietz syndrome 1
TGFBR1	Familial keratoacanthoma
TGFBR2	Hereditary nonpolyposis colorectal cancer type 6
TGFBR2	Loeys-Dietz syndrome 2
TGFBR2	Malignant tumor of esophagus
TGFBR2	Familial thoracic aortic aneurysm and aortic dissection
TGFBR2	Familial thoracic aortic aneurysm and aortic dissection
TH	Segawa syndrome, autosomal recessive
THSD1	ANEURYSM, INTRACRANIAL BERRY, 12
TK2	Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 3
TK2	Mitochondrial DNA depletion syndrome 2
TLR1	Leprosy 5
TLR2	Colorectal cancer
TLR2	Leprosy 3
TLR2	Mycobacterium tuberculosis, susceptibility to
TLR3	Human immunodeficiency virus type 1, susceptibility to
TLR3	Herpes simplex encephalitis 2
TMC1	Deafness, autosomal recessive 7
TMC1	Deafness, autosomal dominant 36
TMEM43	Emery-Dreifuss muscular dystrophy 7, autosomal dominant
TMEM43	Arrhythmogenic right ventricular cardiomyopathy, type 5
TMIE	Deafness, autosomal recessive 6
TMPRSS3	Deafness, autosomal recessive 8
TMPRSS6	Microcytic anemia
TNF	Migraine
TNF	Susceptibility to malaria
TNF	Asthma, susceptibility to
TNFAIP3	Autoinflammatory syndrome, familial, Behcet-like
TNFRSF1A	Multiple sclerosis, susceptibility to, 5
TNFRSF1A	TNF receptor-associated periodic fever syndrome (TRAPS)
TNNI3	Dilated cardiomyopathy 1FF
TNNI3	Dilated cardiomyopathy 2A
TNNI3	Familial restrictive cardiomyopathy 1
TNNI3	Familial hypertrophic cardiomyopathy 7
TNNT2	Familial restrictive cardiomyopathy 3
TNNT2	Primary dilated cardiomyopathy
TNNT2	Left ventricular noncompaction 6
TNNT2	Familial hypertrophic cardiomyopathy 2
TNXB	Ehlers-Danlos syndrome due to tenascin-X deficiency
TNXB	Vesicoureteral reflux 8
TOR1A	Dystonia 1
TOR1A	ARTHROGRYPOSIS MULTIPLEX CONGENITA 5
TP53	Colorectal cancer
TP53	Adrenocortical carcinoma, hereditary
TP53	Hepatocellular carcinoma
TP53	Basal cell carcinoma, susceptibility to, 7
TP53	Li-Fraumeni syndrome 1
TP53	Familial cancer of breast
TP53	Glioma susceptibility 1
TP53	Nasopharyngeal carcinoma
TP53	Osteosarcoma
TP53	Carcinoma of pancreas
TP53	BONE MARROW FAILURE SYNDROME 5
TP53	Choroid plexus papilloma
TPCN2	Skin/hair/eye pigmentation, variation in, 10
TPH2	Major depressive disorder
TPH2	Tryptophan 5-monooxygenase deficiency
TPH2	Attention deficit-hyperactivity disorder 7
TPM1	Familial hypertrophic cardiomyopathy 3
TPM1	Dilated cardiomyopathy 1Y
TPM1	Primary dilated cardiomyopathy
TPMT	Thiopurine methyltransferase deficiency
TPMT	Mercaptopurine response
TPMT	Thioguanine response
TPMT	Azathioprine response
TPO	Deficiency of iodide peroxidase
TPP1	Childhood-onset autosomal recessive slowly progressive spinocerebellar ataxia
TPP1	Ceroid lipofuscinosis neuronal 2
TRAF3IP2	Psoriasis susceptibility 13
TRAF3IP2	Candidiasis, familial, 8
TREM2	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY 2
TRIM2	Charcot-Marie-Tooth disease, axonal, type 2R
TRIP13	OOCYTE MATURATION DEFECT 9
TRIP13	Mosaic variegated aneuploidy syndrome 3
TRPC6	Focal segmental glomerulosclerosis 2
TRPM4	ERYTHROKERATODERMIA VARIABILIS ET PROGRESSIVA 6
TRPM4	Progressive familial heart block type IB
TRPM6	Hypomagnesemia 1, intestinal
TSC1	Focal cortical dysplasia type II
TSC1	Lymphangiomyomatosis
TSC1	Tuberous sclerosis 1
TSHR	Hyperthyroidism, nonautoimmune
TSHR	Hyperthyroidism, familial gestational
TSHR	Hypothyroidism, congenital, nongoitrous, 1
TTC12	CILIARY DYSKINESIA, PRIMARY, 45
TTC29	SPERMATOGENIC FAILURE 42
TTN	Primary dilated cardiomyopathy
TTN	Limb-girdle muscular dystrophy, type 2J
TTN	Tibial muscular dystrophy
TTN	Dilated cardiomyopathy 1G
TTN	Myopathy, myofibrillar, 9, with early respiratory failure
TTN	Familial hypertrophic cardiomyopathy 9
TTN	Myopathy, early-onset, with fatal cardiomyopathy
TTR	Dystransthyretinemic euthyroidal hyperthyroxinemia
TTR	Carpal tunnel syndrome
TTR	Amyloidogenic transthyretin amyloidosis
TUB	Retinal dystrophy and obesity
