gene	disease
RIPK1	Immunodeficiency 57
RIPK4	Bartsocas-Papas syndrome
RIPK4	Curly hair, ankyloblepharon, nail dysplasia syndrome
RIPOR2	Deafness, autosomal recessive 104
RIPPLY2	Spondylocostal dysostosis 6, autosomal recessive
RIT1	Noonan syndrome 8
RLBP1	Newfoundland rod-cone dystrophy
RLBP1	Pigmentary retinal dystrophy
RLBP1	Bothnia retinal dystrophy
RLIM	Mental retardation, X-linked 61
RMND1	Combined oxidative phosphorylation deficiency 11
RMRP	Metaphyseal dysplasia without hypotrichosis
RMRP	Metaphyseal chondrodysplasia, McKusick type
RMRP	Anauxetic dysplasia 1
RNASEH1	Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 2
RNASEH2A	Aicardi Goutieres syndrome 4
RNASEH2B	Aicardi Goutieres syndrome 2
RNASEH2C	Aicardi Goutieres syndrome 3
RNASEL	Prostate cancer, hereditary, 1
RNASET2	Leukoencephalopathy, cystic, without megalencephaly
RNF113A	Trichothiodystrophy 5, nonphotosensitive
RNF125	Tenorio syndrome
RNF13	Rnf13-related severe early-onset epileptic encephalopathy
RNF139	Renal cell carcinoma, nonpapillary
RNF168	Riddle syndrome
RNF170	Ataxia, sensory, autosomal dominant
RNF212	Recombination rate quantitative trait locus 1
RNF213	Moyamoya disease 2
RNF216	Gordon Holmes syndrome
RNF43	Sessile serrated polyposis cancer syndrome
RNF6	Malignant tumor of esophagus
RNPC3	Isolated growth hormone deficiency, type 5
RNU4ATAC	Roifman syndrome
RNU4ATAC	Osteodysplastic primordial dwarfism, type 1
ROBO2	Vesicoureteral reflux 2
ROBO3	Gaze palsy, familial horizontal, with progressive scoliosis 1
ROBO4	AORTIC VALVE DISEASE 3
ROGDI	Kohlschutter's syndrome
ROM1	Retinitis pigmentosa 7
ROM1	Retinitis pigmentosa
ROR1	DEAFNESS, AUTOSOMAL RECESSIVE 108
ROR2	Brachydactyly type B1
ROR2	Robinow syndrome, autosomal recessive
RORA	INTELLECTUAL DEVELOPMENTAL DISORDER WITH OR WITHOUT EPILEPSY OR CEREBELLAR ATAXIA
RORB	Epilepsy, idiopathic generalized, susceptibility to, 15
RORC	Immunodeficiency 42
RP1	Retinitis pigmentosa 1
RP1L1	RETINITIS PIGMENTOSA 88
RP1L1	Occult macular dystrophy
RP2	Retinitis pigmentosa 2
RP9	Retinitis pigmentosa 9
RPE65	Retinitis pigmentosa 20
RPE65	RETINITIS PIGMENTOSA 87 WITH CHOROIDAL INVOLVEMENT
RPE65	Leber congenital amaurosis 2
RPGR	Cone-rod dystrophy, X-linked 1
RPGR	Retinitis pigmentosa, X-linked, and sinorespiratory infections, with or without deafness
RPGR	Retinitis pigmentosa 15
RPGR	Macular degeneration, X-linked atrophic
RPGRIP1	Cone-rod dystrophy 13
RPGRIP1	Leber congenital amaurosis 6
RPGRIP1L	Meckel syndrome, type 5
RPGRIP1L	Nephronophthisis 8
RPGRIP1L	Joubert syndrome 7
RPGRIP1L	Joubert syndrome
RPGRIP1L	Joubert syndrome with hepatic defect
RPIA	Deficiency of ribose-5-phosphate isomerase
RPL10	Autism, susceptibility to, X-linked 5
RPL10	MENTAL RETARDATION, X-LINKED, SYNDROMIC, 35
RPL10	Autism spectrum disorder
RPL11	Diamond-Blackfan anemia 7
RPL13	SPONDYLOEPIMETAPHYSEAL DYSPLASIA, ISIDOR-TOUTAIN TYPE
RPL15	Diamond-Blackfan anemia 12
RPL18	Diamond-Blackfan anemia 18
RPL21	Hypotrichosis 12
RPL26	Diamond-Blackfan anemia 11
RPL27	Diamond-Blackfan anemia 16
RPL35	Diamond-Blackfan anemia 19
RPL35A	Diamond-Blackfan anemia 5
RPL5	Diamond-Blackfan anemia 6
RPS10	Diamond-Blackfan anemia 9
RPS14	Chromosome 5q deletion syndrome
RPS15A	Diamond-Blackfan anemia 20
RPS17	Diamond-Blackfan anemia 4
RPS19	Diamond-Blackfan anemia 1
RPS23	MacInnes syndrome
RPS24	Diamond-Blackfan anemia 3
RPS26	Diamond-Blackfan anemia 10
RPS27	Diamond-Blackfan anemia 17
RPS28	Diamond-Blackfan anemia 15 with mandibulofacial dysostosis
RPS29	Diamond-Blackfan anemia 13
RPS4Y2	Spermatogenic failure, Y-linked 2
RPS6KA3	Coffin-Lowry syndrome
RPS6KA3	Mental retardation, X-linked 19
RPS7	Diamond-Blackfan anemia 8
RPSA	Asplenia, isolated congenital
RRAS2	NOONAN SYNDROME 12
RRM2B	Autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 5
RRM2B	Mitochondrial DNA depletion syndrome, encephalomyopathic form, with renal tubulopathy
RS1	Juvenile retinoschisis
RSPH1	Primary ciliary dyskinesia 24
RSPH3	Ciliary dyskinesia, primary, 32
RSPH4A	Ciliary dyskinesia, primary, 11
RSPH9	Ciliary dyskinesia, primary, 12
RSPO1	Palmoplantar hyperkeratosis with squamous cell carcinoma of skin and 46,XX sex reversal
RSPO2	TETRAAMELIA SYNDROME 2
RSPO2	HUMEROFEMORAL HYPOPLASIA WITH RADIOTIBIAL RAY DEFICIENCY
RSPO4	Anonychia
RSPRY1	Spondyloepimetaphyseal dysplasia, Faden-Alkuraya type
RSRC1	INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 70
RTEL1	Dyskeratosis congenita, autosomal recessive, 5
RTEL1	Pulmonary fibrosis and/or bone marrow failure, telomere-related, 3
RTN2	Hereditary spastic paraplegia 12
RTN4IP1	Optic atrophy 10 with or without ataxia, mental retardation, and seizures
RTN4R	Schizophrenia
RTTN	Microcephaly, short stature, and polymicrogyria with or without seizures
RUBCN	Spinocerebellar ataxia, autosomal recessive 15
RUNX1	Familial platelet disorder with associated myeloid malignancy
RUNX1	Acute myeloid leukemia
RUNX1	Acute myeloid leukemia
RUNX2	Cleidocranial dysostosis
RUNX2	Metaphyseal dysplasia with maxillary hypoplasia and brachydactyly
RUSC2	Intellectual disability, autosomal recessive 61
RXYLT1	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 10
RYR1	Minicore myopathy
RYR1	Statin-induced myopathy
RYR1	Central core myopathy
RYR1	Malignant hyperthermia, susceptibility to, 1
RYR1	Congenital myopathy with fiber type disproportion
RYR2	Catecholaminergic polymorphic ventricular tachycardia type 1
RYR2	Arrhythmogenic right ventricular dysplasia, familial, 2
S1PR2	Deafness, autosomal recessive 68
SACS	Charlevoix-Saguenay spastic ataxia
SAG	Retinitis pigmentosa 47
SAG	Oguchi's disease
SALL1	Townes-Brocks syndrome 1
SALL2	Ocular coloboma, autosomal recessive
SALL4	IVIC syndrome
SALL4	Duane-radial ray syndrome
SAMD12	Epilepsy, familial adult myoclonic, 1
SAMD9	Tumoral calcinosis, familial, normophosphatemic
SAMD9	Mirage syndrome
SAMD9L	Ataxia-pancytopenia syndrome
SAMHD1	Aicardi Goutieres syndrome 5
SAMHD1	Chilblain lupus 2
SAR1B	Chylomicron retention disease
SARDH	Sarcosine dehydrogenase deficiency
SARS1	NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY, ATAXIA, AND SEIZURES
SARS2	Hyperuricemia, pulmonary hypertension, renal failure, and alkalosis
SASH1	Dyschromatosis universalis hereditaria 1
SASH1	CANCER, ALOPECIA, PIGMENT DYSCRASIA, ONYCHODYSTROPHY, AND KERATODERMA
SASS6	Primary autosomal recessive microcephaly 14
SATB2	Chromosome 2q32-q33 deletion syndrome
SBDS	Shwachman-Diamond syndrome 1
SBDS	Shwachman syndrome
SBDS	Aplastic anemia
SBF1	Charcot-Marie-Tooth disease type 4
SBF1	Charcot-Marie-Tooth disease, type 4B3
SBF2	Charcot-Marie-Tooth disease, type 4B2
SC5D	Lathosterolosis
SCAPER	Intellectual developmental disorder and retinitis pigmentosa; IDDRP
SCARB1	High density lipoprotein cholesterol level quantitative trait locus 6
SCARB2	Epilepsy, progressive myoclonic 4, with or without renal failure
SCARF2	Van den Ende-Gupta syndrome
SCGB3A2	Asthma, susceptibility to
SCN10A	Episodic pain syndrome, familial, 2
SCN11A	Neuropathy, hereditary sensory and autonomic, type VII
SCN11A	Episodic pain syndrome, familial, 3
SCN1A	Severe myoclonic epilepsy in infancy
SCN1A	Familial hemiplegic migraine type 3
SCN1A	Generalized epilepsy with febrile seizures plus, type 2
SCN1B	Generalized epilepsy with febrile seizures plus, type 1
SCN1B	Brugada syndrome 5
SCN1B	Epileptic encephalopathy, early infantile, 52
SCN1B	Atrial fibrillation, familial, 13
SCN2A	Benign familial neonatal-infantile seizures
SCN2A	SCN2A-related generalized epilepsy with febrile seizures plus
SCN2A	Early infantile epileptic encephalopathy 11
SCN2A	Episodic ataxia type 9
SCN2B	Atrial fibrillation, familial, 14
SCN3A	Early infantile epileptic encephalopathy 62
SCN3A	Epilepsy, familial focal, with variable foci 4
SCN3B	Brugada syndrome 7
SCN4A	Potassium-aggravated myotonia
SCN4A	Hyperkalemic Periodic Paralysis Type 1
SCN4A	Paramyotonia congenita of von Eulenburg
SCN4A	Hypokalemic periodic paralysis, type 2
SCN4A	Hypokalemic periodic paralysis 1
SCN4A	Congenital myasthenic syndrome, acetazolamide-responsive
SCN4B	Long QT syndrome 10
SCN5A	Progressive familial heart block, type 1A
SCN5A	Long QT syndrome 3
SCN5A	Atrial fibrillation, familial, 10
SCN5A	Sick sinus syndrome 1, autosomal recessive
SCN5A	SUDDEN INFANT DEATH SYNDROME
SCN5A	Dilated cardiomyopathy 1E
SCN5A	Paroxysmal familial ventricular fibrillation 1
SCN5A	Brugada syndrome 1
SCN8A	MYOCLONUS, FAMILIAL, 2
SCN8A	Seizures, benign familial infantile, 5
SCN8A	Early infantile epileptic encephalopathy 13
SCN8A	Cognitive impairment with or without cerebellar ataxia
SCN9A	Hereditary sensory and autonomic neuropathy type IIA
SCN9A	Paroxysmal extreme pain disorder
SCN9A	Primary erythromelalgia
SCN9A	Indifference to pain, congenital, autosomal recessive
SCN9A	Generalized epilepsy with febrile seizures plus, type 7
SCNN1A	Bronchiectasis with or without elevated sweat chloride 2
SCNN1A	LIDDLE SYNDROME 3
SCNN1A	Autosomal recessive pseudohypoaldosteronism type 1
SCNN1B	Autosomal recessive pseudohypoaldosteronism type 1
SCNN1B	Liddle syndrome 1
SCNN1B	Bronchiectasis with or without elevated sweat chloride 1
SCNN1G	LIDDLE SYNDROME 2
SCNN1G	Autosomal recessive pseudohypoaldosteronism type 1
SCNN1G	Bronchiectasis with or without elevated sweat chloride 3
SCO1	Mitochondrial complex IV deficiency
SCO2	Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency
SCO2	Myopia 6
SCP2	Leukoencephalopathy with dystonia and motor neuropathy
SCYL1	Spinocerebellar ataxia, autosomal recessive 21
SCYL2	ARTHROGRYPOSIS MULTIPLEX CONGENITA 4, NEUROGENIC, WITH AGENESIS OF THE CORPUS CALLOSUM
SDC3	Obesity
SDCCAG8	Bardet-Biedl syndrome
SDCCAG8	Senior-Loken syndrome 7
SDCCAG8	Bardet-Biedl syndrome 16
SDHA	Paragangliomas 5
SDHA	Dilated cardiomyopathy 1GG
SDHA	Leigh syndrome
SDHA	Mitochondrial complex II deficiency
SDHAF1	Mitochondrial complex II deficiency
SDHAF2	Paragangliomas 2
SDHB	Pheochromocytoma
SDHB	Paragangliomas 4
SDHB	Gastrointestinal stromal tumor
SDHB	Gastrointestinal stromal tumor
SDHB	Carney-Stratakis syndrome
SDHC	Carney-Stratakis syndrome
SDHC	Paragangliomas 3
SDHC	Gastrointestinal stromal tumor
SDHC	Gastrointestinal stromal tumor
SDHD	Mitochondrial complex II deficiency
SDHD	Pheochromocytoma
SDHD	Carney-Stratakis syndrome
SDHD	Paragangliomas 1
SDR9C7	ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 13
SDR9C7	Congenital ichthyosis of skin
SDR9C7	Lamellar ichthyosis
SEC23A	Craniolenticulosutural dysplasia
SEC23B	Cowden syndrome 7
SEC23B	Congenital dyserythropoietic anemia, type II
SEC24D	Cole-Carpenter syndrome 2
SEC31A	NEURODEVELOPMENTAL DISORDER WITH SPASTIC QUADRIPLEGIA, OPTIC ATROPHY, SEIZURES, AND STRUCTURAL BRAIN ANOMALIES
SEC61A1	Hyperuricemic nephropathy, familial juvenile, 4
SEC63	Polycystic liver disease 2
SECISBP2	Thyroid hormone metabolism, abnormal
SELENBP1	EXTRAORAL HALITOSIS DUE TO METHANETHIOL OXIDASE DEFICIENCY
SELENOI	SPASTIC PARAPLEGIA 81, AUTOSOMAL RECESSIVE
SELENON	Eichsfeld type congenital muscular dystrophy
SELENON	Multiminicore Disease
SELENON	Congenital myopathy with fiber type disproportion
SEMA3A	Hypogonadotropic hypogonadism 16 with or without anosmia
SEMA3E	Hypogonadotropic hypogonadism 7 with or without anosmia
SEMA3E	CHARGE association
SEMA4A	Cone-rod dystrophy 10
SEMA4A	Retinitis pigmentosa 35
SEMA6B	EPILEPSY, PROGRESSIVE MYOCLONIC, 11
SEMA7A	John Milton Hagen blood group system
SEPSECS	Pontocerebellar hypoplasia type 2D
SEPTIN12	Spermatogenic failure 10
SEPTIN9	Amyotrophy, hereditary neuralgic
SERAC1	3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome
SERPINA1	Alpha-1-antitrypsin deficiency
SERPINA6	Corticosteroid-binding globulin deficiency
SERPINA7	Thyroxine-binding globulin deficiency
SERPINA7	Thyroxine-binding globulin quantitative trait locus
SERPINB6	Deafness, autosomal recessive 91
SERPINB7	Palmoplantar keratoderma, nagashima type
SERPINB8	Peeling skin syndrome 5
SERPINC1	Antithrombin III deficiency
SERPINC1	Antithrombin III deficiency
SERPIND1	Heparin cofactor II deficiency
SERPINE1	Congenital plasminogen activator inhibitor type 1 deficiency
SERPINF1	Osteogenesis imperfecta, type VI
SERPINF2	Alpha-2-plasmin inhibitor deficiency
SERPING1	Hereditary angioedema type 1
SERPING1	Hereditary angioedema type 1
SERPING1	Complement component 4, partial deficiency of
SERPINH1	Preterm premature rupture of membranes
SERPINH1	Osteogenesis imperfecta type 10
SERPINI1	Encephalopathy, familial, with neuroserpin inclusion bodies
SET	MENTAL RETARDATION, AUTOSOMAL DOMINANT 58
SETBP1	Mental retardation, autosomal dominant 29
SETBP1	Schinzel-Giedion syndrome
SETD1A	EPILEPSY, EARLY-ONSET, WITH OR WITHOUT DEVELOPMENTAL DELAY
SETD2	Luscan-lumish syndrome
SETD5	Mental retardation, autosomal dominant 23
SETX	Amyotrophic lateral sclerosis type 4
SETX	Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 2
SF3B1	Myelodysplastic syndrome
SF3B4	Nager syndrome
SFRP4	Pyle metaphyseal dysplasia
SFTPA2	Idiopathic fibrosing alveolitis, chronic form
SFTPB	Surfactant metabolism dysfunction, pulmonary, 1
SFTPC	Surfactant metabolism dysfunction, pulmonary, 2
SFTPC	Idiopathic fibrosing alveolitis, chronic form
SFXN4	Combined oxidative phosphorylation deficiency 18
SGCA	Autosomal recessive limb-girdle muscular dystrophy type 2D
SGCB	Autosomal recessive limb-girdle muscular dystrophy type 2E
SGCB	Limb-girdle muscular dystrophy
SGCB	Limb-girdle muscular dystrophy
SGCD	Limb-girdle muscular dystrophy
SGCD	Limb-girdle muscular dystrophy
SGCD	Autosomal recessive limb-girdle muscular dystrophy type 2F
SGCD	Dilated cardiomyopathy 1L
SGCD	Primary dilated cardiomyopathy
SGCE	Myoclonic dystonia
SGCG	Severe autosomal recessive muscular dystrophy of childhood - North African type
SGMS2	Doughnut lesions of skull, familial
SGO1	Chronic atrial and intestinal dysrhythmia
SGPL1	Charcot-Marie-Tooth disease
SGPL1	Nephrotic syndrome type 14
SGSH	Mucopolysaccharidosis, MPS-III-A
SH2B3	Primary familial polycythemia due to EPO receptor mutation
SH2B3	Thrombocythemia 1
SH2B3	Myelofibrosis
SH2D1A	Lymphoproliferative syndrome 1, X-linked
SH3BP2	Fibrous dysplasia of jaw
SH3GL1	Acute myeloid leukemia
SH3GL1	Acute myeloid leukemia
SH3KBP1	Immunodeficiency 61
SH3PXD2B	Frank-Ter Haar syndrome
SH3TC2	Charcot-Marie-Tooth disease, type 4C
SH3TC2	Mononeuropathy of the median nerve, mild
SHANK2	Autism 17
SHANK2	Autism spectrum disorder
SHANK3	22q13.3 deletion syndrome
SHANK3	Schizophrenia 15
SHH	Solitary median maxillary central incisor syndrome
SHH	Solitary median maxillary central incisor syndrome
SHH	Microphthalmia, isolated, with coloboma 5
SHH	Holoprosencephaly 3
SHH	SCHIZENCEPHALY
SHOC2	Noonan syndrome-like disorder with loose anagen hair 1
SHOX	Short stature, idiopathic, X-linked
SHOX	Langer mesomelic dysplasia syndrome
SHOX	Leri-Weill dyschondrosteosis
SHPK	Sedoheptulokinase deficiency
SHROOM4	X-linked intellectual disability, Stocco dos Santos type
SI	Sucrase-isomaltase deficiency
SIAE	Autoimmune disease 6
SIGMAR1	Amyotrophic lateral sclerosis 16, juvenile
SIGMAR1	Distal spinal muscular atrophy, autosomal recessive 2
SIK1	Epileptic encephalopathy, early infantile, 30
SIK3	SPONDYLOEPIMETAPHYSEAL DYSPLASIA, KRAKOW TYPE
SIL1	Marinesco-Sjögren syndrome
SIN3A	Witteveen-kolk syndrome
SIPA1L3	Cataract 45
SIX1	Melnick-Fraser syndrome
SIX1	Branchiootic syndrome 3
SIX1	Deafness, autosomal dominant 23
SIX3	Anophthalmia-microphthalmia syndrome
SIX3	Holoprosencephaly 2
SIX3	SCHIZENCEPHALY
SIX5	Branchiootorenal syndrome 2
SIX6	Colobomatous optic disc-macular atrophy-chorioretinopathy syndrome
SIX6	Anophthalmia/microphthalmia-esophageal atresia syndrome
SKI	Shprintzen-Goldberg syndrome
SKIV2L	Trichohepatoenteric syndrome 2
SLC10A2	Bile acid malabsorption, primary
SLC10A7	SHORT STATURE, AMELOGENESIS IMPERFECTA, AND SKELETAL DYSPLASIA WITH SCOLIOSIS
SLC11A1	Mycobacterium tuberculosis, susceptibility to
SLC11A1	Buruli ulcer, susceptibility to
SLC11A2	Anemia, hypochromic microcytic, with iron overload 1
SLC12A1	Bartter syndrome, type 1, antenatal
SLC12A3	Familial hypokalemia-hypomagnesemia
SLC12A5	Epilepsy, idiopathic generalized, susceptibility to, 14
SLC12A5	Early infantile epileptic encephalopathy 34
SLC12A6	Agenesis of the corpus callosum with peripheral neuropathy
SLC13A3	LEUKOENCEPHALOPATHY, ACUTE REVERSIBLE, WITH INCREASED URINARY ALPHA-KETOGLUTARATE
SLC13A5	Epileptic encephalopathy, early infantile, 25
SLC14A1	BLOOD GROUP--KIDD SYSTEM
SLC16A1	Exercise-induced hyperinsulinism
SLC16A1	Erythrocyte lactate transporter defect
SLC16A1	Monocarboxylate transporter 1 deficiency
SLC16A12	Cataract, juvenile, with microcornea and glucosuria
SLC16A2	Allan-Herndon-Dudley syndrome
SLC17A3	Uric acid concentration, serum, quantitative trait locus 4
SLC17A5	Salla disease
SLC17A5	Sialic acid storage disease, severe infantile type
SLC17A8	Deafness, autosomal dominant 25
SLC17A9	Porokeratosis 8, disseminated superficial actinic type
SLC18A2	Parkinsonism-dystonia, infantile, 2
SLC18A3	Myasthenic syndrome, congenital, 21, presynaptic
SLC19A2	Megaloblastic anemia, thiamine-responsive, with diabetes mellitus and sensorineural deafness
SLC19A3	Biotin-responsive basal ganglia disease
SLC1A1	Dicarboxylic aminoaciduria
SLC1A1	Schizophrenia 18
SLC1A2	Epileptic encephalopathy, early infantile, 41
SLC1A3	Episodic ataxia, type 6
SLC1A4	Spastic tetraplegia, thin corpus callosum, and progressive microcephaly
SLC20A2	Idiopathic basal ganglia calcification 1
SLC22A12	Familial renal hypouricemia
SLC22A18	Rhabdomyosarcoma 1
SLC22A18	Lung cancer
SLC22A18	Familial cancer of breast
SLC22A4	Rheumatoid arthritis
SLC22A5	Renal carnitine transport defect
SLC24A1	Congenital stationary night blindness, type 1D
SLC24A4	Skin/hair/eye pigmentation, variation in, 6
SLC24A4	Amelogenesis imperfecta, hypomaturation type IIA5
SLC24A5	Skin/hair/eye pigmentation, variation in, 4
SLC25A1	Congenital myasthenic syndrome
SLC25A1	Combined d-2- and l-2-hydroxyglutaric aciduria
SLC25A1	MYASTHENIC SYNDROME, CONGENITAL, 23, PRESYNAPTIC
SLC25A10	MITOCHONDRIAL DNA DEPLETION SYNDROME 19
SLC25A11	PARAGANGLIOMAS 6
SLC25A12	Hypomyelination, global cerebral
SLC25A13	Citrullinemia type II
SLC25A13	Neonatal intrahepatic cholestasis caused by citrin deficiency
SLC25A15	Hyperornithinemia-hyperammonemia-homocitrullinuria syndrome
SLC25A19	Striatal necrosis, bilateral, and progressive polyneuropathy
SLC25A19	Amish lethal microcephaly
SLC25A20	Carnitine acylcarnitine translocase deficiency
SLC25A21	MITOCHONDRIAL DNA DEPLETION SYNDROME 18
SLC25A22	Early myoclonic encephalopathy
SLC25A24	Fontaine progeroid syndrome
SLC25A26	Combined oxidative phosphorylation deficiency 28
SLC25A3	Mitochondrial phosphate carrier deficiency
SLC25A32	Exercise intolerance, riboflavin-responsive
SLC25A38	Anemia, sideroblastic, 2, pyridoxine-refractory
SLC25A4	Mitochondrial DNA depletion syndrome 12a (cardiomyopathic type), autosomal dominant
SLC25A4	Mitochondrial DNA depletion syndrome 12b (cardiomyopathic type), autosomal recessive
SLC25A4	Autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 2
SLC25A42	METABOLIC CRISES, RECURRENT, WITH VARIABLE ENCEPHALOMYOPATHIC FEATURES AND NEUROLOGIC REGRESSION
SLC25A46	Neuropathy, hereditary motor and sensory, type 6B
SLC26A1	Calcium oxalate urolithiasis
SLC26A2	Diastrophic dysplasia
SLC26A2	Atelosteogenesis type II
SLC26A2	Achondrogenesis, type IB
SLC26A2	Multiple epiphyseal dysplasia type 4
SLC26A2	Osteochondrodysplasia
SLC26A3	Congenital secretory diarrhea, chloride type
SLC26A4	Enlarged vestibular aqueduct
SLC26A4	Pendred syndrome
SLC26A5	Deafness, autosomal recessive 61
SLC26A8	Spermatogenic failure 3
SLC27A4	Ichthyosis prematurity syndrome
SLC28A1	URIDINE-CYTIDINEURIA
SLC29A3	Histiocytosis-lymphadenopathy plus syndrome
SLC2A1	Stomatin-deficient cryohydrocytosis with neurologic defects
SLC2A1	Dystonia 9
SLC2A1	Epilepsy, idiopathic generalized, susceptibility to, 12
SLC2A1	GLUT1 deficiency syndrome 1
SLC2A1	GLUT1 deficiency syndrome 2
SLC2A10	Arterial tortuosity syndrome
SLC2A2	Diabetes mellitus type 2
SLC2A2	Fanconi-Bickel syndrome
SLC2A9	Renal hypouricemia 2
SLC30A10	Hypermanganesemia with dystonia 1
SLC30A2	Zinc deficiency, transient neonatal
SLC30A8	Diabetes mellitus type 2
SLC30A9	Birk-Landau-Perez syndrome
SLC33A1	Congenital cataracts, hearing loss, and neurodegeneration
SLC33A1	Spastic paraplegia 42, autosomal dominant
SLC34A1	Fanconi renotubular syndrome 2
SLC34A1	Nephrolithiasis/osteoporosis, hypophosphatemic, 1
SLC34A1	Hypercalcemia, infantile, 2
SLC34A2	PULMONARY ALVEOLAR MICROLITHIASIS
SLC34A3	Autosomal recessive hypophosphatemic bone disease
SLC35A1	Congenital disorder of glycosylation type 2F
SLC35A2	SLC35A2-CDG
SLC35A3	Arthrogryposis, mental retardation, and seizures
SLC35C1	Leukocyte adhesion deficiency type II
SLC35D1	Schneckenbecken dysplasia
SLC36A2	Iminoglycinuria
SLC36A2	Hyperglycinuria
SLC37A4	Phosphate transport defect
SLC37A4	Glucose-6-phosphate transport defect
SLC38A8	Foveal hypoplasia 2
SLC39A13	Spondylocheirodysplasia, Ehlers-Danlos syndrome-like
SLC39A14	Hypermanganesemia with dystonia 2
SLC39A14	Hyperostosis cranialis interna
SLC39A4	Hereditary acrodermatitis enteropathica
SLC39A5	Myopia 24, autosomal dominant
SLC39A8	SLC39A8-CDG
SLC3A1	Cystinuria
SLC40A1	Hemochromatosis type 4
SLC44A1	NEURODEGENERATION, CHILDHOOD-ONSET, WITH ATAXIA, TREMOR, OPTIC ATROPHY, AND COGNITIVE DECLINE
SLC44A4	DEAFNESS, AUTOSOMAL DOMINANT 72
SLC45A1	INTELLECTUAL DEVELOPMENTAL DISORDER WITH NEUROPSYCHIATRIC FEATURES
SLC45A2	Oculocutaneous albinism type 4
SLC45A2	Skin/hair/eye pigmentation, variation in, 5
SLC46A1	Congenital defect of folate absorption
SLC4A1	Autosomal dominant distal renal tubular acidosis
SLC4A1	Ovalocytosis, southeast Asian
SLC4A1	Renal tubular acidosis, distal, with hemolytic anemia
SLC4A1	Susceptibility to malaria
SLC4A1	BLOOD GROUP--SWANN SYSTEM
SLC4A1	BLOOD GROUP--FROESE
SLC4A1	BLOOD GROUP--WRIGHT ANTIGEN
SLC4A1	BLOOD GROUP--WALDNER TYPE
SLC4A1	BLOOD GROUP--DIEGO SYSTEM
SLC4A1	Hereditary cryohydrocytosis with normal stomatin
SLC4A1	Spherocytosis type 4
SLC4A11	Corneal dystrophy-perceptive deafness syndrome
SLC4A11	Corneal endothelial dystrophy
SLC4A11	Corneal dystrophy, Fuchs endothelial, 4
SLC4A4	Renal tubular acidosis, proximal, with ocular abnormalities and mental retardation
SLC52A1	Maternal riboflavin deficiency
SLC52A2	Brown-Vialetto-Van Laere syndrome 2
SLC52A3	Brown-Vialetto-Van Laere syndrome 1
SLC52A3	Progressive bulbar palsy of childhood
SLC5A1	Congenital glucose-galactose malabsorption
SLC5A2	Familial renal glucosuria
SLC5A5	Thyroid dyshormonogenesis 1
SLC5A6	NEURODEGENERATION, INFANTILE-ONSET, BIOTIN-RESPONSIVE
SLC5A7	Neuronopathy, distal hereditary motor, type viia
SLC5A7	Myasthenic syndrome, congenital, 20, presynaptic
SLC5A7	Congenital myasthenic syndrome
SLC6A1	Myoclonic-atonic epilepsy
SLC6A17	Mental retardation, autosomal recessive 48
SLC6A19	Iminoglycinuria
SLC6A19	Neutral 1 amino acid transport defect
SLC6A19	Hyperglycinuria
SLC6A2	Orthostatic intolerance
SLC6A20	Iminoglycinuria
SLC6A20	Hyperglycinuria
SLC6A3	Tobacco addiction, susceptibility to
SLC6A3	Parkinsonism-dystonia, infantile, 1
SLC6A4	Obsessive-compulsive disorder
SLC6A4	Anxiety
SLC6A5	Hyperekplexia 3
SLC6A8	Creatine transporter deficiency
SLC6A9	Glycine encephalopathy with normal serum glycine
SLC7A14	Retinitis pigmentosa 68
SLC7A7	Lysinuric protein intolerance
SLC7A9	Cystinuria
SLC9A1	Lichtenstein-knorr syndrome
SLC9A3	Diarrhea 8, secretory sodium, congenital
SLC9A3R1	Nephrolithiasis/osteoporosis, hypophosphatemic, 2
SLC9A6	Christianson syndrome
SLC9A7	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 108
SLC9A9	Autism 16
SLCO1B1	Statin-induced myopathy
SLCO1B1	Simvastatin response
SLCO1B1	Rotor syndrome
SLCO1B3	Rotor syndrome
SLCO2A1	Primary hypertrophic osteoarthropathy, autosomal recessive 2
SLFN14	Platelet-type bleeding disorder 20
SLITRK1	Tourette Syndrome
SLITRK1	Trichotillomania
SLITRK1	Trichotillomania
SLITRK6	Deafness and myopia
SLURP1	Acroerythrokeratoderma
SLX4	Fanconi anemia, complementation group P
SMAD3	Familial thoracic aortic aneurysm and aortic dissection
SMAD3	Familial thoracic aortic aneurysm and aortic dissection
SMAD3	Loeys-Dietz syndrome 3
SMAD4	Carcinoma of pancreas
SMAD4	Myhre syndrome
SMAD4	Juvenile polyposis syndrome
SMAD4	Juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome
SMAD6	Craniosynostosis 7
SMAD6	Aortic valve disease 2
