gene,text
PNKD,Paroxysmal nonkinesigenic dyskinesia 1
PNKP,Charcot-Marie-Tooth disease type 2B2
PNKP,Early infantile epileptic encephalopathy 10
PNKP,Ataxia-oculomotor apraxia 4
PNLIP,Pancreatic lipase deficiency
PNP,Purine-nucleoside phosphorylase deficiency
PNPLA1,Autosomal recessive congenital ichthyosis 10
PNPLA2,Neutral lipid storage myopathy
PNPLA6,Laurence-Moon syndrome
PNPLA6,Ataxia-hypogonadism-choroidal dystrophy syndrome
PNPLA6,Trichomegaly-retina pigmentary degeneration-dwarfism syndrome
PNPLA6,Hereditary spastic paraplegia 39
PNPLA8,Mitochondrial myopathy-lactic acidosis-deafness syndrome
PNPO,Pyridoxal phosphate-responsive seizures
PNPT1,Combined oxidative phosphorylation deficiency 13
PNPT1,"Deafness, autosomal recessive 70"
POC1A,"Short stature, onychodysplasia, facial dysmorphism, and hypotrichosis"
POC1B,Cone-rod dystrophy 20
POF1B,Premature ovarian failure 2b
POFUT1,Dowling-Degos disease 2
POGLUT1,Dowling-degos disease 4
POGLUT1,"Muscular dystrophy, limb-girdle, type 2z"
POGZ,White-sutton syndrome
POLA1,"Pigmentary disorder, reticulate, with systemic manifestations, X-linked"
POLA1,VAN ESCH-O''''DRISCOLL SYNDROME
POLD1,"Mandibular hypoplasia, deafness, progeroid features, and lipodystrophy syndrome"
POLD1,Colorectal cancer 10
POLE,"Colorectal cancer, susceptibility to, 12"
POLE,"Facial dysmorphism, immunodeficiency, livedo, and short stature"
POLE,"INTRAUTERINE GROWTH RETARDATION, METAPHYSEAL DYSPLASIA, ADRENAL HYPOPLASIA CONGENITA, GENITAL ANOMALIES, AND IMMUNODEFICIENCY"
POLG,Sensory ataxic neuropathy-dysarthria-ophthalmoparesis syndrome
POLG,Autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 1
POLG,Mitochondrial DNA depletion syndrome 1 (MNGIE type)
POLG,Cerebellar ataxia infantile with progressive external ophthalmoplegia
POLG,Progressive sclerosing poliodystrophy
POLG,"Mitochondrial DNA depletion syndrome 4B, MNGIE type"
POLG2,Autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 4
POLG2,MITOCHONDRIAL DNA DEPLETION SYNDROME 16 (HEPATIC TYPE)
POLH,Xeroderma pigmentosum variant type
POLR1A,"Acrofacial dysostosis, Cincinnati type"
POLR1B,Treacher Collins syndrome 4
POLR1C,Treacher Collins syndrome 3
POLR1C,"Leukodystrophy, hypomyelinating, 11"
POLR1D,Treacher Collins syndrome 2
POLR2A,NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND VARIABLE INTELLECTUAL AND BEHAVIORAL ABNORMALITIES
POLR3A,Hypomyelinating leukodystrophy 7
POLR3A,Neonatal pseudo-hydrocephalic progeroid syndrome
POLR3B,"Hypomyelinating leukodystrophy 8, with or without oligodontia and/or hypogonadotropic hypogonadism"
POLR3B,Hypomyelinating leukodystrophy 7
POMC,Obesity
POMC,Proopiomelanocortin deficiency
POMGNT1,Retinitis pigmentosa 76
POMGNT1,"Congenital muscular dystrophy-dystroglycanopathy with mental retardation, type B3"
POMGNT1,"Limb-girdle muscular dystrophy-dystroglycanopathy, type C3"
POMGNT1,Muscle eye brain disease
POMGNT2,"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 8"
POMGNT2,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 8"
POMK,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 12"
POMK,"Muscular dystrophy-dystroglycanopathy (limb-girdle), type c, 12"
POMP,PROTEASOME-ASSOCIATED AUTOINFLAMMATORY SYNDROME 2
POMP,Keratosis linearis with ichthyosis congenita and sclerosing keratoderma
POMT1,"Congenital muscular dystrophy-dystroglycanopathy with mental retardation, type B1"
POMT1,"Limb-girdle muscular dystrophy-dystroglycanopathy, type C1"
POMT1,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 1"
POMT2,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 1"
POMT2,"Limb-girdle muscular dystrophy-dystroglycanopathy, type C2"
POMT2,"Congenital muscular dystrophy-dystroglycanopathy with brain and eye anomalies, type A2"
POMT2,"Congenital muscular dystrophy-dystroglycanopathy with mental retardation, type B2"
PON1,Microvascular complications of diabetes 5
POP1,Anauxetic dysplasia 2
POPDC3,"MUSCULAR DYSTROPHY, LIMB-GIRDLE, AUTOSOMAL RECESSIVE 26"
POR,Antley-Bixler syndrome without genital anomalies or disordered steroidogenesis
POR,Disordered steroidogenesis due to cytochrome p450 oxidoreductase deficiency
POR,Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis
PORCN,Anophthalmia-microphthalmia syndrome
PORCN,Focal dermal hypoplasia
POT1,"Melanoma, cutaneous malignant, susceptibility to, 10"
POT1,Glioma susceptibility 9
POU1F1,"Pituitary hormone deficiency, combined, 1"
POU3F3,SNIJDERS BLOK-FISHER SYNDROME
POU3F4,"Deafness, X-linked 2"
POU3F4,Hereditary hearing loss and deafness
POU4F3,"Deafness, autosomal dominant 15"
POU6F2,Wilms tumor 5
PPA2,"Sudden cardiac failure, infantile"
PPA2,"Sudden cardiac failure, alcohol-induced"
PPARG,Diabetes mellitus type 2
PPARG,Carotid intimal medial thickness 1
PPARG,Obesity
PPARG,Familial partial lipodystrophy 3
PPCS,"CARDIOMYOPATHY, DILATED, 2C"
PPIB,Osteogenesis imperfecta type 9
PPIP5K2,"DEAFNESS, AUTOSOMAL RECESSIVE 100"
PPM1D,Intellectual developmental disorder with gastrointestinal difficulties and high pain threshold
PPM1D,Familial cancer of breast
PPM1K,"Maple syrup urine disease, mild variant"
PPOX,Variegate porphyria
PPP1CB,Noonan syndrome-like disorder with loose anagen hair 2
PPP1R12A,GENITOURINARY AND/OR BRAIN MALFORMATION SYNDROME
PPP1R15B,"Microcephaly, short stature, and impaired glucose metabolism 2"
PPP1R17,Familial hypercholesterolemia 1
PPP1R3A,Diabetes mellitus type 2
PPP2CA,NEURODEVELOPMENTAL DISORDER AND LANGUAGE DELAY WITH OR WITHOUT STRUCTURAL BRAIN ABNORMALITIES
PPP2R1A,"Mental retardation, autosomal dominant 36"
PPP2R1B,Lung cancer
PPP2R2B,Spinocerebellar ataxia type 12
PPP2R3C,"GONADAL DYSGENESIS, DYSMORPHIC FACIES, RETINAL DYSTROPHY, AND MYOPATHY"
PPP2R3C,SPERMATOGENIC FAILURE 36
PPP2R5D,"Mental retardation, autosomal dominant 35"
PPP3CA,"ARTHROGRYPOSIS, CLEFT PALATE, CRANIOSYNOSTOSIS, AND IMPAIRED INTELLECTUAL DEVELOPMENT"
PPP3CA,"Epileptic encephalopathy, infantile or early childhood 1"
PPT1,Neuronal ceroid lipofuscinosis 1
PQBP1,Renpenning syndrome 1
PRCC,"Renal cell carcinoma, papillary, 1"
PRCD,Retinitis pigmentosa 36
PRDM12,"Neuropathy, hereditary sensory and autonomic, type VIII"
PRDM16,Left ventricular noncompaction 8
PRDM5,Brittle cornea syndrome 2
PRDM6,Patent ductus arteriosus 3
PRDM8,"Epilepsy, progressive myoclonic, 10"
PRDX1,Methylmalonic acidemia with homocystinuria
PREPL,"Myasthenic syndrome, congenital, 22"
PRF1,Familial hemophagocytic lymphohistiocytosis 2
PRF1,Aplastic anemia
PRF1,Non-Hodgkin lymphoma
PRG4,Camptodactyly-arthropathy-coxa vara-pericarditis syndrome
PRICKLE1,Progressive myoclonus epilepsy with ataxia
PRIMPOL,"Myopia 22, autosomal dominant"
PRKACA,"Pigmented nodular adrenocortical disease, primary, 4"
PRKACG,Platelet-type bleeding disorder 19
PRKAG2,"Glycogen storage disease of heart, lethal congenital"
PRKAG2,Wolff-Parkinson-White pattern
PRKAG2,Familial hypertrophic cardiomyopathy 6
PRKAR1A,Familial atrial myxoma
PRKAR1A,Acrodysostosis 1 with or without hormone resistance
PRKAR1A,"Carney complex, type 1"
PRKAR1A,"Pigmented nodular adrenocortical disease, primary, 1"
PRKCD,"Autoimmune lymphoproliferative syndrome, type III"
PRKCG,Spinocerebellar ataxia type 14
PRKCH,Ischemic stroke
PRKCSH,Polycystic liver disease 1
PRKD1,Congenital heart defects and ectodermal dysplasia
PRKDC,Immunodeficiency 26 with or without neurologic abnormalities
PRKG1,"Aortic aneurysm, familial thoracic 8"
PRKN,Neoplasm of ovary
PRKN,Parkinson disease 2
PRKN,Lung cancer
PRKRA,Dystonia 16
PRLR,Hyperprolactinemia
PRLR,Multiple fibroadenomas of the breast
PRMT7,"Short stature, brachydactyly, intellectual developmental disability, and seizures"
PRNP,Spongiform encephalopathy with neuropsychiatric features
PRNP,"Kuru, susceptibility to"
PRNP,Jakob-Creutzfeldt disease
PRNP,Fatal familial insomnia
PRNP,Gerstmann-Straussler-Scheinker syndrome
PRNP,Huntington disease-like 1
PROC,"Thrombophilia, hereditary, due to protein C deficiency, autosomal dominant"
PROC,"Thrombophilia, hereditary, due to protein C deficiency, autosomal recessive"
PRODH,Schizophrenia 4
PRODH,Proline dehydrogenase deficiency
PROK2,Hypogonadotropic hypogonadism 4 with or without anosmia
PROKR2,Kallmann syndrome 3
PROM1,Cone-rod dystrophy 12
PROM1,Bull's eye macular dystrophy
PROM1,Retinitis pigmentosa 41
PROM1,Stargardt disease 4
PROP1,"Pituitary hormone deficiency, combined 2"
PROS1,"Thrombophilia due to protein S deficiency, autosomal recessive"
PROS1,"Thrombophilia due to protein S deficiency, autosomal dominant"
PROZ,Protein Z deficiency
PRPF3,Retinitis pigmentosa 18
PRPF31,Retinitis pigmentosa 11
PRPF4,Retinitis pigmentosa 70
PRPF6,Retinitis pigmentosa 60
PRPF8,Retinitis pigmentosa 13
PRPH,Amyotrophic lateral sclerosis type 1
PRPH2,Cone-rod dystrophy
PRPH2,"Macular dystrophy, vitelliform, adult-onset"
PRPH2,Retinitis pigmentosa 7
PRPH2,Pigmentary retinal dystrophy
PRPH2,"Macular dystrophy, patterned, 1"
PRPH2,"Choroidal dystrophy, central areolar 2"
PRPS1,Arts syndrome
PRPS1,"Deafness, X-linked 1"
PRPS1,Hereditary hearing loss and deafness
PRPS1,Phosphoribosylpyrophosphate synthetase superactivity
PRPS1,"Charcot-Marie-Tooth disease, X-linked recessive, type 5"
PRRT2,Episodic kinesigenic dyskinesia 1
PRRT2,"Seizures, benign familial infantile, 2"
PRRT2,Infantile convulsions and choreoathetosis
PRRX1,Agnathia-otocephaly complex
PRSS1,Hereditary pancreatitis
PRSS12,"Mental retardation, autosomal recessive 1"
PRSS2,Hereditary pancreatitis
PRSS56,"Microphthalmia, isolated 6"
PRUNE1,"Neurodevelopmental disorder with microcephaly, hypotonia, and variable brain anomalies"
PRX,Dejerine-Sottas disease
PRX,"Charcot-Marie-Tooth disease, demyelinating, type 4F"
PRY,"Spermatogenic failure, Y-linked 2"
PRY2,"Spermatogenic failure, Y-linked 2"
PSAP,"Gaucher disease, atypical, due to saposin C deficiency"
PSAP,Combined saposin deficiency
PSAP,"Krabbe disease, atypical, due to saposin A deficiency"
PSAP,Sphingolipid activator protein 1 deficiency
PSAT1,Phosphoserine aminotransferase deficiency
PSAT1,Neu-laxova syndrome 2
PSEN1,"Acne inversa, familial, 3"
PSEN1,"Cardiomyopathy, dilated, 1u"
PSEN1,Pick's disease
PSEN1,"Alzheimer disease, type 3"
PSEN1,Primary dilated cardiomyopathy
PSEN1,Frontotemporal dementia
PSEN2,Primary dilated cardiomyopathy
PSEN2,"Alzheimer disease, type 4"
PSEN2,Dilated cardiomyopathy 1V
PSENEN,"Acne inversa, familial, 2"
PSMA6,Myocardial infarction 1
PSMB4,PROTEASOME-ASSOCIATED AUTOINFLAMMATORY SYNDROME 3
PSMB8,Proteasome-associated autoinflammatory syndrome 1
PSMB9,PROTEASOME-ASSOCIATED AUTOINFLAMMATORY SYNDROME 3
PSMC3IP,Ovarian dysgenesis 3
PSMD12,Stankiewicz-Isidor syndrome
PSPH,Deficiency of phosphoserine phosphatase
PSTPIP1,Pyogenic arthritis-pyoderma gangrenosum-acne syndrome
PTCH1,BCC1
PTCH1,BCC1
PTCH1,Holoprosencephaly 7
PTCH1,Gorlin syndrome
PTCH2,Gorlin syndrome
PTCH2,Medulloblastoma
PTCH2,BCC1
PTCH2,BCC1
PTCHD1,"Autism, susceptibility to, X-linked 4"
PTCHD1,Autism spectrum disorder
PTDSS1,Lenz-Majewski hyperostosis syndrome
PTEN,Glioma susceptibility 2
PTEN,PTEN hamartoma tumor syndrome
PTEN,"Meningioma, familial"
PTEN,Malignant tumor of prostate
PTEN,Cowden syndrome 1
PTEN,Macrocephaly/autism syndrome
PTF1A,"Diabetes mellitus, permanent neonatal, with cerebellar agenesis"
PTF1A,Pancreatic agenesis 2
PTGDR,"Asthma-related traits, susceptibility to, 1"
PTGER2,"Asthma, nasal polyps, and aspirin intolerance"
PTGIS,Essential hypertension
PTH,"Hypoparathyroidism, familial isolated 1"
PTH1R,Chondrodysplasia Blomstrand type
PTH1R,Eiken skeletal dysplasia
PTH1R,"Metaphyseal chondrodysplasia, Jansen type"
PTH1R,"Failure of tooth eruption, primary"
PTHLH,Brachydactyly type E2
PTPN1,Diabetes mellitus type 2
PTPN11,LEOPARD syndrome 1
PTPN11,Metachondromatosis
PTPN11,Noonan syndrome
PTPN11,Noonan syndrome 1
PTPN11,Juvenile myelomonocytic leukemia
PTPN12,Colorectal cancer
PTPN14,Choanal atresia and lymphedema
PTPN22,Systemic lupus erythematosus
PTPN22,Rheumatoid arthritis
PTPN22,Diabetes mellitus type 1
PTPN23,NEURODEVELOPMENTAL DISORDER AND STRUCTURAL BRAIN ANOMALIES WITH OR WITHOUT SEIZURES AND SPASTICITY
PTPRC,"Hepatitis c virus, susceptibility to"
PTPRC,"Severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-positive, NK cell-positive"
PTPRF,"Breasts and/or nipples, aplasia or hypoplasia of, 2"
PTPRJ,Colorectal cancer
PTPRO,"Nephrotic syndrome, type 6"
PTPRQ,"Deafness, autosomal recessive 84"
PTPRQ,"DEAFNESS, AUTOSOMAL DOMINANT 73"
PTRH2,"Neurologic, endocrine, and pancreatic disease, multisystem, infantile-onset"
PTS,BH4-deficient hyperphenylalaninemia A
PUF60,Verheij syndrome
PUM1,SPINOCEREBELLAR ATAXIA 47
PURA,"Mental retardation, autosomal dominant 31"
PUS1,"Myopathy, lactic acidosis, and sideroblastic anemia 1"
PUS3,"Mental retardation, autosomal recessive 55"
PUS7,"INTELLECTUAL DEVELOPMENTAL DISORDER WITH ABNORMAL BEHAVIOR, MICROCEPHALY, AND SHORT STATURE"
PWAR1,Prader-Willi syndrome
PWRN1,Prader-Willi syndrome
PXDN,Anterior segment dysgenesis 7
PYCR1,Autosomal recessive cutis laxa type 2B
PYCR1,Autosomal recessive cutis laxa type 3B
PYCR2,"Leukodystrophy, hypomyelinating, 10"
PYGL,"Glycogen storage disease, type VI"
PYGM,"Glycogen storage disease, type V"
PYROXD1,"Myopathy, myofibrillar, 8"
QARS1,"Microcephaly, progressive, with seizures and cerebral and cerebellar atrophy"
QDPR,Dihydropteridine reductase deficiency
QRICH1,VERVERI-BRADY SYNDROME
QRICH2,SPERMATOGENIC FAILURE 35
QRSL1,COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 40
RAB11B,"NEURODEVELOPMENTAL DISORDER WITH ATAXIC GAIT, ABSENT SPEECH, AND DECREASED CORTICAL WHITE MATTER"
RAB18,Warburg micro syndrome 3
RAB23,Carpenter syndrome 1
RAB27A,Griscelli syndrome type 2
RAB28,Cone-rod dystrophy 18
RAB33B,Smith-McCort dysplasia 2
RAB39B,Early-onset parkinsonism-intellectual disability syndrome
RAB39B,"Mental retardation, X-linked 72"
RAB39B,Chromosome Xq28 duplication syndrome
RAB3GAP1,Warburg micro syndrome 1
RAB3GAP2,Warburg micro syndrome 2
RAB3GAP2,Cataract-intellectual disability-hypogonadism syndrome
RAB7A,Charcot-Marie-Tooth disease type 2B
RABL3,"PANCREATIC CANCER, SUSCEPTIBILITY TO, 5"
RAC1,"Intellectual disability, autosomal dominant 48"
RAC2,IMMUNODEFICIENCY 73B WITH DEFECTIVE NEUTROPHIL CHEMOTAXIS AND LYMPHOPENIA
RAC2,IMMUNODEFICIENCY 73C WITH DEFECTIVE NEUTROPHIL CHEMOTAXIS AND HYPOGAMMAGLOBULINEMIA
RAC2,Neutrophil immunodeficiency syndrome
RAC3,NEURODEVELOPMENTAL DISORDER WITH STRUCTURAL BRAIN ANOMALIES AND DYSMORPHIC FACIES
RAD21,Mungan syndrome
RAD21,De Lange syndrome
RAD21,Cornelia de Lange syndrome 4
RAD50,Nijmegen breakage syndrome-like disorder
RAD51,Mirror movements 2
RAD51,Familial cancer of breast
RAD51,"Fanconi anemia, complementation group R"
RAD51C,"Fanconi anemia, complementation group O"
RAD51C,"Breast-ovarian cancer, familial 3"
RAD51D,"Breast-ovarian cancer, familial 4"
RAD54B,Non-Hodgkin lymphoma
RAD54B,Colorectal cancer
RAD54L,Non-Hodgkin lymphoma
RAD54L,Familial cancer of breast
RAF1,LEOPARD syndrome 2
RAF1,"Cardiomyopathy, dilated, 1NN"
RAF1,Noonan syndrome 5
RAG1,Histiocytic medullary reticulosis
RAG1,Combined cellular and humoral immune defects with granulomas
RAG1,"Alpha/beta T-cell lymphopenia with gamma/delta T-cell expansion, severe cytomegalovirus infection, and autoimmunity"
RAG1,"Severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-positive"
RAG2,"Severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-positive"
RAG2,Combined cellular and humoral immune defects with granulomas
RAG2,Histiocytic medullary reticulosis
RAI1,Smith-Magenis syndrome
RALGAPA1,"NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, NEONATAL RESPIRATORY INSUFFICIENCY, AND THERMODYSREGULATION"
RANBP2,"Encephalopathy, acute, infection-induced, 3, suceptibility to"
RAPGEF2,"EPILEPSY, FAMILIAL ADULT MYOCLONIC, 7"
RAPSN,"Myasthenic syndrome, congenital, 11, associated with acetylcholine receptor deficiency"
RAPSN,FETAL AKINESIA DEFORMATION SEQUENCE 2
RARA,Acute promyelocytic leukemia
RARB,"Microphthalmia, syndromic 12"
RARS1,"Leukodystrophy, hypomyelinating, 9"
RARS2,Pontocerebellar hypoplasia type 6
RASA1,Capillary malformation-arteriovenous malformation 1
RASA1,BCC1
RASA1,BCC1
RASGRP1,IMMUNODEFICIENCY 64
RASGRP2,Platelet-type bleeding disorder 18
RAX,"Microphthalmia, isolated 3"
RAX,Anophthalmia-microphthalmia syndrome
RAX2,Cone-rod dystrophy 11
RAX2,Age-related macular degeneration 6
RB1,Urinary bladder cancer
RB1,Retinoblastoma
RB1,Osteosarcoma
RB1,Small cell lung cancer
RB1,Small cell lung cancer
RB1CC1,Familial cancer of breast
RBBP8,Seckel syndrome 2
RBBP8,Microcephaly with mental retardation and digital anomalies
RBCK1,Polyglucosan body myopathy 1 with or without immunodeficiency
RBM10,TARP syndrome
RBM12,Schizophrenia 19
RBM20,Dilated cardiomyopathy 1DD
RBM20,Primary dilated cardiomyopathy
RBM28,"Alopecia, neurologic defects, and endocrinopathy syndrome"
RBM8A,Radial aplasia-thrombocytopenia syndrome
RBMX,Syndromic X-linked intellectual disability Shashi type
RBMY1A1,"Spermatogenic failure, Y-linked 2"
RBP3,Retinitis pigmentosa
RBP3,Retinitis pigmentosa 66
RBP4,"Retinal dystrophy, iris coloboma, and comedogenic acne syndrome"
RBP4,"Microphthalmia, isolated, with coloboma 10"
RBPJ,Adams-Oliver syndrome 3
RC3H1,"HEMOPHAGOCYTIC LYMPHOHISTIOCYTOSIS, FAMILIAL, 6"
RCBTB1,Retinal dystrophy with or without extraocular anomalies
RD3,Leber congenital amaurosis 12
RDH11,"Retinal dystrophy, juvenile cataracts, and short stature syndrome"
RDH12,Leber congenital amaurosis 13
RDH5,Pigmentary retinal dystrophy
RDX,"Deafness, autosomal recessive 24"
RECQL4,Rapadilino syndrome
RECQL4,Rothmund-Thomson syndrome type 2
RECQL4,Baller-Gerold syndrome
REEP1,"Spastic paraplegia 31, autosomal dominant"
REEP1,Distal hereditary motor neuronopathy type 5B
REEP2,"Spastic paraplegia 72, autosomal recessive"
REEP6,Retinitis pigmentosa 77
RELA,"MUCOCUTANEOUS ULCERATION, CHRONIC"
RELB,IMMUNODEFICIENCY 53
RELN,"Epilepsy, familial temporal lobe, 7"
RELN,Familial temporal lobe epilepsy 1
RELN,Norman-Roberts syndrome
RELT,"Amelogenesis imperfecta, type 3c"
REN,"Hyperuricemic nephropathy, familial juvenile, 2"
REN,Renal dysplasia
REPS1,NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 7
RERE,"Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart"
REST,Wilms tumor 6
REST,"Deafness, autosomal dominant 27"
REST,"FIBROMATOSIS, GINGIVAL, 5"
RET,"Multiple endocrine neoplasia, type 2a"
RET,Hirschsprung disease 1
RET,"Multiple endocrine neoplasia, type 2b"
RET,Familial medullary thyroid carcinoma
RET,Pheochromocytoma
RET,Congenital central hypoventilation
RETN,Diabetes mellitus type 2
RETREG1,Hereditary sensory and autonomic neuropathy type IIA
RETREG1,Hereditary sensory and autonomic neuropathy type IIB
RFC1,"Cerebellar ataxia, neuropathy, and vestibular areflexia syndrome"
RFT1,Congenital disorder of glycosylation type 1N
RFWD3,"FANCONI ANEMIA, COMPLEMENTATION GROUP W"
RFX5,Bare lymphocyte syndrome 2
RFX6,Mitchell-Riley syndrome
RFXANK,Bare lymphocyte syndrome 2
RFXAP,Bare lymphocyte syndrome 2
RGR,Retinitis pigmentosa 44
RGS5,Essential hypertension
RGS9,Bradyopsia
RGS9BP,Bradyopsia
RHAG,"Rh-null, regulator type"
RHAG,Overhydrated hereditary stomatocytosis
RHBDF2,Palmoplantar keratoderma-esophageal carcinoma syndrome
RHCE,"RH-NULL, AMORPH TYPE"
RHO,Pigmentary retinal dystrophy
RHO,Retinitis pigmentosa 4
RHO,"Congenital stationary night blindness, autosomal dominant 1"
RHOA,"ECTODERMAL DYSPLASIA WITH FACIAL DYSMORPHISM AND ACRAL, OCULAR, AND BRAIN ANOMALIES"
RHOBTB2,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 64"
RHOH,"EPIDERMODYSPLASIA VERRUCIFORMIS, SUSCEPTIBILITY TO, 4"
RIC1,CATIFA SYNDROME
RIMS1,Cone-rod dystrophy 7
RIMS2,"CONE-ROD SYNAPTIC DISORDER SYNDROME, CONGENITAL NONPROGRESSIVE"
RIN2,"Macrocephaly, alopecia, cutis laxa, and scoliosis"
RINT1,INFANTILE LIVER FAILURE SYNDROME 3
RIPK1,AUTOINFLAMMATION WITH EPISODIC FEVER AND LYMPHADENOPATHY
RIPK1,Immunodeficiency 57
RIPK4,Bartsocas-Papas syndrome
RIPK4,"Curly hair, ankyloblepharon, nail dysplasia syndrome"
RIPOR2,"Deafness, autosomal recessive 104"
RIPPLY2,"Spondylocostal dysostosis 6, autosomal recessive"
RIT1,Noonan syndrome 8
RLBP1,Newfoundland rod-cone dystrophy
RLBP1,Pigmentary retinal dystrophy
RLBP1,Bothnia retinal dystrophy
RLIM,"Mental retardation, X-linked 61"
RMND1,Combined oxidative phosphorylation deficiency 11
RMRP,Metaphyseal dysplasia without hypotrichosis
RMRP,"Metaphyseal chondrodysplasia, McKusick type"
RMRP,Anauxetic dysplasia 1
RNASEH1,"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 2"
RNASEH2A,Aicardi Goutieres syndrome 4
RNASEH2B,Aicardi Goutieres syndrome 2
RNASEH2C,Aicardi Goutieres syndrome 3
RNASEL,"Prostate cancer, hereditary, 1"
RNASET2,"Leukoencephalopathy, cystic, without megalencephaly"
RNF113A,"Trichothiodystrophy 5, nonphotosensitive"
RNF125,Tenorio syndrome
RNF13,Rnf13-related severe early-onset epileptic encephalopathy
RNF139,"Renal cell carcinoma, nonpapillary"
RNF168,Riddle syndrome
RNF170,"Ataxia, sensory, autosomal dominant"
RNF212,Recombination rate quantitative trait locus 1
RNF213,Moyamoya disease 2
RNF216,Gordon Holmes syndrome
RNF43,Sessile serrated polyposis cancer syndrome
RNF6,Malignant tumor of esophagus
RNPC3,"Isolated growth hormone deficiency, type 5"
RNU4ATAC,Roifman syndrome
RNU4ATAC,"Osteodysplastic primordial dwarfism, type 1"
ROBO2,Vesicoureteral reflux 2
ROBO3,"Gaze palsy, familial horizontal, with progressive scoliosis 1"
ROBO4,AORTIC VALVE DISEASE 3
ROGDI,Kohlschutter's syndrome
ROM1,Retinitis pigmentosa 7
ROM1,Retinitis pigmentosa
ROR1,"DEAFNESS, AUTOSOMAL RECESSIVE 108"
ROR2,Brachydactyly type B1
ROR2,"Robinow syndrome, autosomal recessive"
RORA,INTELLECTUAL DEVELOPMENTAL DISORDER WITH OR WITHOUT EPILEPSY OR CEREBELLAR ATAXIA
RORB,"Epilepsy, idiopathic generalized, susceptibility to, 15"
RORC,Immunodeficiency 42
RP1,Retinitis pigmentosa 1
RP1L1,RETINITIS PIGMENTOSA 88
RP1L1,Occult macular dystrophy
RP2,Retinitis pigmentosa 2
RP9,Retinitis pigmentosa 9
RPE65,Retinitis pigmentosa 20
RPE65,RETINITIS PIGMENTOSA 87 WITH CHOROIDAL INVOLVEMENT
RPE65,Leber congenital amaurosis 2
RPGR,"Cone-rod dystrophy, X-linked 1"
RPGR,"Retinitis pigmentosa, X-linked, and sinorespiratory infections, with or without deafness"
RPGR,Retinitis pigmentosa 15
RPGR,"Macular degeneration, X-linked atrophic"
RPGRIP1,Cone-rod dystrophy 13
RPGRIP1,Leber congenital amaurosis 6
RPGRIP1L,"Meckel syndrome, type 5"
RPGRIP1L,Nephronophthisis 8
RPGRIP1L,Joubert syndrome 7
RPGRIP1L,Joubert syndrome
RPGRIP1L,Joubert syndrome with hepatic defect
RPIA,Deficiency of ribose-5-phosphate isomerase
RPL10,"Autism, susceptibility to, X-linked 5"
RPL10,"MENTAL RETARDATION, X-LINKED, SYNDROMIC, 35"
RPL10,Autism spectrum disorder
RPL11,Diamond-Blackfan anemia 7
RPL13,"SPONDYLOEPIMETAPHYSEAL DYSPLASIA, ISIDOR-TOUTAIN TYPE"
RPL15,Diamond-Blackfan anemia 12
RPL18,Diamond-Blackfan anemia 18
RPL21,Hypotrichosis 12
RPL26,Diamond-Blackfan anemia 11
RPL27,Diamond-Blackfan anemia 16
RPL35,Diamond-Blackfan anemia 19
RPL35A,Diamond-Blackfan anemia 5
RPL5,Diamond-Blackfan anemia 6
RPS10,Diamond-Blackfan anemia 9
RPS14,Chromosome 5q deletion syndrome
RPS15A,Diamond-Blackfan anemia 20
RPS17,Diamond-Blackfan anemia 4
RPS19,Diamond-Blackfan anemia 1
RPS23,MacInnes syndrome
RPS24,Diamond-Blackfan anemia 3
RPS26,Diamond-Blackfan anemia 10
RPS27,Diamond-Blackfan anemia 17
RPS28,Diamond-Blackfan anemia 15 with mandibulofacial dysostosis
RPS29,Diamond-Blackfan anemia 13
RPS4Y2,"Spermatogenic failure, Y-linked 2"
RPS6KA3,Coffin-Lowry syndrome
RPS6KA3,"Mental retardation, X-linked 19"
RPS7,Diamond-Blackfan anemia 8
RPSA,"Asplenia, isolated congenital"
RRAS2,NOONAN SYNDROME 12
RRM2B,Autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 5
RRM2B,"Mitochondrial DNA depletion syndrome, encephalomyopathic form, with renal tubulopathy"
RS1,Juvenile retinoschisis
RSPH1,Primary ciliary dyskinesia 24
